seed,side,winner,ticks,A_score,B_score,A_alive_ticks,B_alive_ticks,A_terr,B_terr
seed-1,A,A,21,298,209,20,20,447,312
seed-1,B,B,20,199,280,19,20,313,446
seed-10,A,A,21,298,209,20,20,447,312
seed-10,B,B,20,199,280,19,20,313,446
seed-2,A,A,21,298,209,20,20,447,312
seed-2,B,B,20,199,280,19,20,313,446
seed-3,A,A,21,298,209,20,20,447,312
seed-3,B,B,20,199,280,19,20,313,446
seed-4,A,A,21,298,209,20,20,447,312
seed-4,B,B,20,199,280,19,20,313,446
seed-5,A,A,21,298,209,20,20,447,312
seed-5,B,B,20,199,280,19,20,313,446
seed-6,A,A,21,298,209,20,20,447,312
seed-6,B,B,20,199,280,19,20,313,446
seed-7,A,A,21,298,209,20,20,447,312
seed-7,B,B,20,199,280,19,20,313,446
seed-8,A,A,21,298,209,20,20,447,312
seed-8,B,B,20,199,280,19,20,313,446
seed-9,A,A,21,298,209,20,20,447,312
seed-9,B,B,20,199,280,19,20,313,446
